Main Voice,Main Volume,Main Octave,Main Reverb Level,Main Chorus Level,Dual Voice,Dual Volume,Dual Octave,Dual Reverb Level,Dual Chorus Level
263,104,0,28,0,54,70,0,32,0
264,104,0,28,0,54,70,0,32,0
265,104,0,28,0,54,70,0,32,0
266,104,0,28,0,54,70,0,32,0
267,104,0,28,0,54,70,0,32,0
268,104,0,28,0,54,70,0,32,0
269,104,0,28,0,54,70,0,32,0
270,80,0,28,0,54,70,0,32,0
271,104,0,28,0,54,70,0,32,0
272,104,0,28,0,54,70,0,32,0
273,104,0,28,0,54,70,0,32,0
274,104,0,28,0,54,70,0,32,0
275,104,0,28,0,54,70,0,32,0
276,88,0,28,0,54,70,0,32,0
277,104,0,28,0,54,70,0,32,0
278,104,0,28,0,54,70,0,32,0
279,104,0,28,0,54,70,0,32,0
280,104,0,28,0,54,70,0,32,0
281,104,0,28,0,54,70,0,32,0
282,104,0,28,0,54,70,0,32,0
283,88,0,28,0,54,70,0,32,0
284,96,0,28,0,54,70,0,32,0
285,88,0,28,0,54,70,0,32,0
286,104,0,28,0,54,70,0,32,0
287,104,0,28,0,54,70,0,32,0
288,104,0,28,0,54,70,0,32,0
289,88,0,28,0,54,70,0,32,0
290,104,0,28,0,54,70,0,32,0
291,75,0,28,0,54,70,0,32,0
292,104,0,28,0,54,70,0,32,0
293,104,0,28,0,54,70,0,32,0
294,95,0,28,0,54,70,0,32,0
295,104,0,28,0,54,70,0,32,0
296,100,0,28,0,54,70,0,32,0
297,88,0,28,0,54,70,0,32,0
298,104,0,28,0,54,70,0,32,0
299,104,0,28,0,54,70,0,32,0
300,104,0,28,0,54,70,0,32,0
301,104,0,28,0,54,70,0,32,0
302,104,0,28,0,54,70,0,32,0
303,104,0,28,0,54,70,0,32,0
304,104,0,28,0,54,70,0,32,0
305,104,0,28,0,54,70,0,32,0
306,75,0,28,0,54,70,0,32,0
307,85,0,28,0,54,70,0,32,0
308,90,0,28,0,54,70,0,32,0
309,104,0,28,0,54,70,0,32,0
310,104,0,28,0,54,70,0,32,0
311,75,0,28,0,54,70,0,32,0
312,104,0,28,0,54,70,0,32,0
313,104,0,28,0,54,70,0,32,0
314,104,0,28,0,54,70,0,32,0
315,104,0,28,0,54,70,0,32,0
316,104,0,28,0,54,70,0,32,0
